Baso population #,Metric 1,Metric 2,Metric 3,Metric 4,Metric 5,Metric 6,Metric 7,Metric 8,Metric 9,Metric 10,Metric 11,Metric 12,% of activated basophils
1,1.064866903,1.031978431,1.019738561,0.838664695,0.697231304,0.611205979,0.027260776,-0.132415825,-0.150923192,-0.235198035,-0.292300904,-0.34980379,65.9
1,1.135248179,0.974436616,0.973233083,0.825400644,0.729205515,0.653438746,0.023867091,-0.148333926,-0.185687521,-0.179535487,-0.242213412,-0.286051136,65.9
1,0.816737703,0.727490835,0.706278818,0.644655622,0.573730458,0.518789821,-0.051740098,-0.139938754,-0.163143137,-0.20833693,-0.221751914,-0.331665822,65.9
1,0.99000443,0.903156275,0.894948889,0.780186782,0.691418121,0.595342334,0.071000186,-0.117734434,-0.129634604,-0.175796338,-0.223692049,-0.249967616,65.9
1,0.890236808,0.828556993,0.789857429,0.750236431,0.655657664,0.593994537,-0.006070361,-0.140956991,-0.159787256,-0.17308582,-0.218566387,-0.261737505,65.9
1,0.947817398,0.874871931,0.834411505,0.70559599,0.615290036,0.533460393,-0.043866057,-0.150529404,-0.150292549,-0.184161547,-0.268286541,-0.326090909,65.9
1,0.920533742,0.768596849,0.738262555,0.670298597,0.606906407,0.553842433,0.073235765,-0.130233736,-0.162888343,-0.167225996,-0.210260075,-0.372302484,65.9
1,1.173937957,1.103167408,1.078823494,0.894966768,0.795664119,0.669178085,0.034926286,-0.139425966,-0.145031146,-0.218357252,-0.310791571,-0.345257388,65.9
1,0.954355775,0.813125758,0.762925012,0.68636521,0.610279879,0.5603869,-0.125810621,-0.103543079,-0.148320712,-0.130344585,-0.233961074,-0.332844697,65.9
1,1.005097576,0.872544662,0.823605923,0.705495383,0.5808594,0.467130418,0.034394707,-0.168560344,-0.226402329,-0.253160393,-0.33628115,-0.360447593,65.9
1,0.873394832,0.830632267,0.791182539,0.680826855,0.624440873,0.535955244,0.056104611,-0.154131656,-0.164542637,-0.193367842,-0.267175374,-0.361444679,65.9
1,0.905998608,0.879085403,0.887345867,0.821637755,0.693850172,0.535522846,0.045609862,-0.025930228,-0.076817533,-0.21237912,-0.37095904,-0.49536573,65.9
1,0.896789148,0.761691098,0.722126005,0.672999075,0.568806922,0.489268557,0.024642086,-0.137075045,-0.185108696,-0.169927416,-0.280416056,-0.313114657,65.9
1,0.861093524,0.776414348,0.7686895,0.664082414,0.6056539,0.552486254,-0.012607313,-0.148153437,-0.173255047,-0.136571234,-0.247735012,-0.277087499,65.9
1,0.76175588,0.703052356,0.692965258,0.607284982,0.50535324,0.39924575,0.009751664,-0.170899552,-0.127488125,-0.194384206,-0.241237896,-0.232163402,65.9
1,1.027852773,0.940224571,0.896775735,0.79096958,0.709505635,0.603246062,-0.011165923,-0.146248213,-0.171349184,-0.195584621,-0.265698779,-0.29687677,65.9
1,0.978514181,0.900759978,0.855566736,0.733922912,0.622503496,0.599528804,0.021261783,-0.176392352,-0.157201597,-0.200142165,-0.247290357,-0.336574577,65.9
1,1.078686286,0.982463035,0.950090943,0.782544248,0.710772536,0.632392665,0.006293347,-0.171535546,-0.179658055,-0.134276685,-0.230927227,-0.223165792,65.9
1,1.115007578,0.946378268,0.944246464,0.834061521,0.71851592,0.679136925,-0.034897391,-0.100704223,-0.108019385,-0.193140369,-0.247986667,-0.327814967,65.9
1,0.771802659,0.792573048,0.748356262,0.690893011,0.587259518,0.513610571,0.041726772,-0.099574883,-0.120615701,-0.148701317,-0.24482118,-0.281947683,65.9
1,1.071607363,0.981654885,0.941255291,0.829144199,0.706565853,0.617559292,-0.045808704,-0.185158492,-0.155754125,-0.20214259,-0.290139621,-0.378278243,65.9
1,0.926474349,0.84560207,0.806616188,0.686927728,0.633494265,0.558834925,0.018842843,-0.153330618,-0.118914044,-0.189458125,-0.236021329,-0.283281828,65.9
1,0.924865983,0.839476294,0.805512412,0.729834902,0.627121767,0.580150372,-0.067752547,-0.161024525,-0.139483421,-0.161162549,-0.264686287,-0.322928645,65.9
1,0.971301506,0.736812189,0.725777335,0.655868871,0.587745167,0.496450854,0.000436479,-0.186524468,-0.138381752,-0.164676485,-0.229881938,-0.232991039,65.9
1,0.90303043,0.775134615,0.77834965,0.662351899,0.615715883,0.536701499,0.015509868,-0.1665693,-0.161403592,-0.178178135,-0.227785595,-0.307216661,65.9
1,0.92567727,0.856254591,0.829634905,0.713774477,0.662163879,0.577423297,-0.083214324,-0.12374021,-0.15462469,-0.173064838,-0.242786696,-0.253584462,65.9
1,1.004709808,0.961408123,0.876398944,0.781517238,0.696353468,0.596897888,0.047395935,-0.189093329,-0.154431164,-0.193191441,-0.242877841,-0.281858692,65.9
1,0.954524009,0.810451751,0.752964146,0.658834858,0.585001352,0.517422883,-0.049387501,-0.179499396,-0.193194459,-0.192589689,-0.260358925,-0.269041471,65.9
